id,keyword_Search,doi,doi_url,mdpi_url,path,title,abstract,abstract_words,content_paper,content_words,conclusions,sections,reference_count,keywords,journal,journal_slug,eissn,publication_date,publication_year,publication_month,volume,issue,article_number,article_type,language,publisher,authors,first_author,author_count,orcids,affiliations,license_url,is_oa,pdf_url,fulltext_url,xml_url,cited_by_count,views,matched_keywords,match_score,deep_scraped,retrieved_at,scraped_at,error
10.3390/cosmetics13050230,cosmetic emulsion stability,10.3390/cosmetics13050230,https://doi.org/10.3390/cosmetics13050230,https://www.mdpi.com/2079-9284/13/5/230,/2079-9284/13/5/230,"Effect of Formulation Matrix, Temperature, and Time on Formaldehyde Release from Formaldehyde-Releasing Preservatives","Formaldehyde is a chemical compound historically used for its antimicrobial and preservative properties. Due to its classification as a carcinogen and skin sensitizer, its use in cosmetics is restricted; however, formaldehyde-releasing preservatives are still permitted under specific conditions. The release of formaldehyde in cosmetic products may be influenced by factors such as temperature, storage time, and formulation matrix, raising potential safety and regulatory concerns. In this study, a full factorial design was applied to evaluate formaldehyde release in aqueous solutions at 40, 70, and 90 °C over 15, 30, and 60 min. In cosmetic matrices, temperatures of 40 and 70 °C were assessed at 0, 15, 30, and 60 min. Additionally, a three-month accelerated stability study was conducted to evaluate formaldehyde release over time in three different formulations. Formaldehyde release increased with both temperature and time in aqueous solutions, with diazolidinyl urea showing the highest levels, followed by DMDM hydantoin and imidazolidinyl urea. In cosmetic matrices, lower release levels were observed compared to aqueous systems; however, all formulations exceeded the 0.001% threshold established by European regulations. Under accelerated stability conditions, the emulsion exhibited the highest formaldehyde release, which may be associated with increased water availability promoting preservative hydrolysis. Overall, formaldehyde release was influenced by preservative structure, formulation matrix, temperature, and time. These findings highlight the importance of considering formulation composition and storage conditions in the evaluation of formaldehyde-releasing preservatives and may be relevant for safety assessment and regulatory compliance.",239,,0,,,0,,Cosmetics,,2079-9284,2026-09-07,,,13,5,230,Article,,,Paula Juliana Eraso-Calvachi | Isabella Rivera-Montoya | Daniela Bustamante-López | Juan Camilo Mejía-Giraldo,Paula Juliana Eraso-Calvachi,4,,,,True,https://www.mdpi.com/2079-9284/13/5/230/pdf?version=1788790451,,,0,0,cosmetic emulsion stability | surfactant skin barrier disruption,1.0,False,2026-09-15T14:56:18+00:00,,
10.3390/pr14172850,cosmetic emulsion stability,10.3390/pr14172850,https://doi.org/10.3390/pr14172850,https://www.mdpi.com/2227-9717/14/17/2850,/2227-9717/14/17/2850,Natural Deep Eutectic Solvents as Innovative Multifunctional Ingredients in Cosmetic Formulations: Scaling up from Lab to Industry,"In recent years, the cosmetic and dermo-cosmetic industries have experienced a shift driven by the principles of green chemistry and the growing consumer demand for clean-beauty platforms. Conventional personal care formulations heavily rely on synthetic glycols, petroleum-derived penetration enhancers, and heavy chemical preservatives to stabilize active ingredients and optimize topical application. However, these ingredients are increasingly scrutinized due to their associated carbon footprints and processing inefficiencies. Consequently, the development of multi-functional, bio-based, and ecologically sustainable solvents has emerged as a primary frontier in modern cosmetic engineering. For the first time, this study focused on determining the physicochemical properties and direct cosmetic application potential of Natural Deep Eutectic Solvents (NADESs) based on 1,3-propanediol (PDO) and glycerin (GLY) paired with organic acids (citric, succinic, malic, and lactic) at a 6:1 molar ratio. Unlike traditional, highly viscous eutectic mixtures, the engineered NADESs successfully optimized liquid dynamic viscosities, overcoming a major barrier for topical application. The new NADESs and, for comparison, a physical mixture of their substrates were incorporated into aqueous serums and O/W emulsions. Accelerated stability trials (40 °C/4 °C, 3 months) combined with pH monitoring revealed that while liquid serums maintained exceptional stability, the emulsion formulations were highly dependent on the specific acid structures. All formulations of cosmetics demonstrated very good radical scavenging activity (up to 89% DPPH inhibition) and microbiological purity, complying with the ISO 17516:2014 standard. Furthermore, in vivo sensory evaluations visualized via heatmaps confirmed that NADESs effectively eliminated the characteristic “sticky effect” of polyols, significantly enhancing product ease of application on skin. This study provides the first systematic evidence that these NADESs offer seamless cold-process compounding, reduced homogenization times, and simplified single-pot operations. Consequently, this work establishes a novel, clean-beauty-compliant platform for advanced dermo-cosmetic manufacturing.",286,,0,,,0,,Processes,,2227-9717,2026-09-04,,,14,17,2850,Article,,,Justyna Werner | Ewa Kilian-Pięta | Kornelia Rzepczyk | Mateusz Szczygiełda | Agnieszka Duczmal | Daria Mysiak | Damian Krystian Kaczmarek,Justyna Werner,7,,,,True,https://www.mdpi.com/2227-9717/14/17/2850/pdf?version=1788847671,,,0,0,cosmetic emulsion stability | surfactant skin barrier disruption | topical retinoid delivery,1.0,False,2026-09-15T14:56:18+00:00,,
10.3390/allergies6030034,skin microbiome,10.3390/allergies6030034,https://doi.org/10.3390/allergies6030034,https://www.mdpi.com/2313-5786/6/3/34,/2313-5786/6/3/34,Atopic Dermatitis in Otorhinolaryngology: Clinical Manifestations and Implications for Practice,"Atopic dermatitis is a chronic inflammatory skin disease increasingly recognized as part of a broader atopic and type 2 inflammatory spectrum rather than a condition confined to the skin alone. Although its dermatologic burden is well established, its relevance to otorhinolaryngology remains relatively underrecognized. This narrative review examines atopic dermatitis from an otorhinolaryngology-centered perspective, focusing on ear, nose and throat (ENT) associations, clinical overlaps, shared inflammatory pathways, and practical implications for clinical care. Particular emphasis is placed on allergic rhinitis, chronic rhinosinusitis, ear-related eczematous manifestations, and the head and neck phenotype of atopic dermatitis. Shared pathophysiologic mechanisms, including epithelial barrier dysfunction, allergen sensitization, immune dysregulation, type 2 inflammation, microbiome alterations, and allergic multimorbidity, provide a framework for understanding these overlaps. Upper airway and ear-related conditions should not be interpreted as direct manifestations of atopic dermatitis in all patients, but as disorders that may coexist within a shared atopic or type 2 inflammatory background. The review further considers the implications of this perspective for targeted history-taking, differential diagnosis, referral decisions, therapeutic awareness, and multidisciplinary care. Overall, atopic dermatitis may serve as a clinically useful marker of broader allergic and inflammatory multimorbidity, with relevant implications for selected patients encountered in otorhinolaryngology practice.",200,,0,,,0,,Allergies,,2313-5786,2026-09-04,,,6,3,34,Review,,,Nikolaos Fylaktou | Alexandra Danielidi | Katerina Grafanaki | Athanasios Vlachodimitropoulos | Gerasimos Danielides | Foteini Tsapardoni | Spyridon Lygeros,Nikolaos Fylaktou,7,,,,True,https://www.mdpi.com/2313-5786/6/3/34/pdf?version=1788505171,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/ani16172744,skin microbiome,10.3390/ani16172744,https://doi.org/10.3390/ani16172744,https://www.mdpi.com/2076-2615/16/17/2744,/2076-2615/16/17/2744,Fecal Microbiota Transplantation in Dogs and Cats: Evidence for Gastrointestinal and Emerging Extra-Intestinal Applications,"Fecal microbiota transplantation (FMT) is an emerging microbiome-directed intervention for dogs and cats, but its clinical role remains incompletely defined. This structured narrative review integrates peer-reviewed clinical, mechanistic, methodological, and safety evidence on companion-animal FMT published between 2005 and 2026, with emphasis on efficacy, tolerability, mechanisms, product preparation, donor screening, and research priorities. In dogs, the most consistent clinical signal concerns chronic enteropathy (CE), where observational studies frequently report reduced disease activity scores after FMT, whereas small randomized trials have shown mixed results; however, causal inference remains limited by small sample sizes, heterogeneous diagnostic criteria and treatment protocols, and concurrent therapies. The strongest controlled canine signal comes from parvoviral enteritis, where adjunctive enema-based FMT accelerated diarrhea resolution and shortened hospitalization. Feline data support short-term tolerability and measurable microbiome activity, but clinical efficacy remains preliminary; notably, the first controlled feline chronic enteropathy (CE) trial showed no significant improvement in dysbiosis index or clinical activity scores compared with controls. Proposed mechanisms include donor microbial engraftment, metabolic restoration, immune modulation, and gut–brain and gut–skin axis signaling, although veterinary-specific validation remains limited. Standardized donor screening, batch-level quality control, dose-finding studies, long-term safety surveillance, and adequately powered sham-controlled trials are the main prerequisites for responsible clinical translation.",202,,0,,,0,,Animals,,2076-2615,2026-09-02,,,16,17,2744,Review,,,Jian Jin | Chao Xu | Wenbin Bao,Jian Jin,3,,,,True,https://www.mdpi.com/2076-2615/16/17/2744/pdf?version=1788330528,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/dermato6030033,skin microbiome,10.3390/dermato6030033,https://doi.org/10.3390/dermato6030033,https://www.mdpi.com/2673-6179/6/3/33,/2673-6179/6/3/33,Dysbiosis and Staphylococcus aureus : Implications for Atopic Dermatitis and Other Dermatoses,"This study aimed to review the scientific literature on dysbiosis characterized by Staphylococcus aureus enrichment and its implications for atopic dermatitis and other dermatoses. A narrative literature review was conducted using the PubMed database with the descriptors “ Staphylococcus aureus ” and “dysbiosis”, covering publications from January 2014 to May 2026. A total of 372 articles were identified, of which 38 met the inclusion criteria and were qualitatively synthesized. Most studies ( n = 31) specifically examined the association between S. aureus –related dysbiosis and atopic dermatitis, with bacterial enrichment primarily assessed using 16S rRNA gene sequencing. The evidence explored the potential roles of distinct bacterial species in exerting protective or exacerbating effects on dermatoses, as well as the mechanisms underlying skin barrier dysfunction and the development of dermatological lesions. Additionally, emerging innovative therapeutic perspectives for atopic dermatitis were discussed, particularly strategies aimed at modulating or reducing S. aureus abundance. Collectively, the findings indicate that increased S. aureus abundance represents a significant risk factor for multiple dermatological conditions; however, the complexity of host–microbiome interactions and the directionality of these relationships remain incompletely understood. The identification of specific microbial biomarkers may enable earlier diagnosis and support the development of targeted therapeutic interventions for dermatological diseases associated with S. aureus overabundance.",209,,0,,,0,,Dermato,,2673-6179,2026-09-01,,,6,3,33,Review,,,Joyce Marinho de Souza | Guilherme Bartolomeu-Gonçalves | Rafaela Moraes Leal | Isabela Madeira de Castro | Gislaine da Silva-Rodrigues | Paulo Henrique Guilherme Borges | Isabella Ramos Trevizani Thihara | Gabrielle Modesto Maroni | Vitória Lumi Ogatta | Artur Norio Mizuno | Eliandro Reis Tavares | Lucy Megumi Yamauchi | Marcus Vinícius Pimenta Rodrigues | Sueli Fumie Yamada-Ogatta,Joyce Marinho de Souza,14,,,,True,https://www.mdpi.com/2673-6179/6/3/33/pdf?version=1788260953,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/dermato6030032,skin microbiome,10.3390/dermato6030032,https://doi.org/10.3390/dermato6030032,https://www.mdpi.com/2673-6179/6/3/32,/2673-6179/6/3/32,Acne and Rosacea: Distinct Disorders Sharing a Sebum–Microbiome–Inflammation–Barrier Axis,"Acne vulgaris and rosacea are traditionally classified as distinct inflammatory facial dermatoses. Nevertheless, accumulating mechanistic and translational evidence suggests that these conditions share partially overlapping biological domains including preferential localization of sebaceous gland-rich facial skin, alterations in sebaceous function, microbiota dysregulation, innate immune activation and epidermal barrier impairment. This review evaluates the pilosebaceous unit and its surrounding ecosystem as a shared anatomical and functional platform from which these disorders may diverge into distinct clinical phenotypes. Evidence on sebum quantity and composition, microbial ecology, biofilm and quorum-sensing biology, barrier integrity and immuno-inflammatory signaling is synthesized. Acne is more consistently linked to seborrhea, follicular hyperkeratinization, comedogenesis, and Cutibacterium acnes -associated inflammation. Rosacea is more strongly associated with barrier fragility, Demodex overabundance, dysregulated TLR2/KLK5/cathelicidin signaling, neurovascular reactivity and persistent centrofacial inflammation. This review proposes that acne and rosacea are distinct clinical entities arising from partially overlapping but differentially weighted perturbations along a shared sebum–microbiome–inflammation–barrier axis. This framework may help explain mixed facial presentations, improve differential diagnosis and support therapeutic strategies that target biological networks while preserving disease-specific clinical distinctions. The strength of the supporting evidence is, however, unequal across these domains, being more robust for sebaceous and microbial mechanisms in acne than in rosacea. The proposed axis is therefore presented as a conceptual and hypothesis-generating framework rather than as an established disease continuum.",220,,0,,,0,,Dermato,,2673-6179,2026-09-01,,,6,3,32,Review,,,Cristina Eguren | Melina Lois,Cristina Eguren,2,,,,True,https://www.mdpi.com/2673-6179/6/3/32/pdf?version=1788241276,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/cells15171591,skin microbiome,10.3390/cells15171591,https://doi.org/10.3390/cells15171591,https://www.mdpi.com/2073-4409/15/17/1591,/2073-4409/15/17/1591,"Decoding Sebaceous Gland Biology Through Experimental Models: Progress, Limitations, and Future Directions","The sebaceous gland (SG) is a highly dynamic skin appendage that plays a central role in maintaining skin homeostasis through lipid production, immune modulation, and interactions with the skin microbiome. Dysregulation of SG function is implicated in several dermatological disorders, including acne and other inflammatory skin diseases. Over the past decades, a wide range of experimental models has been developed to investigate SG biology and pathology. These include in vivo animal models, ex vivo human skin explants, primary sebocyte cultures, and immortalized sebocyte cell lines, each offering distinct advantages and limitations. More recently, significant progress has been made in the development of advanced three-dimensional (3D) models of sebaceous gland biology, including sebocyte spheroids, SG organoids, human skin equivalents containing sebaceous components, and organotypic co-culture models, which better recapitulate the structural and functional complexity of SGs. In particular, the emergence of SG organoids derived from adult or pluripotent stem cells represents a breakthrough, enabling the study of sebocyte differentiation, lipid metabolism, and cell–cell interactions in a physiologically relevant context. Despite these advances, current models still face important challenges, including incomplete cellular maturation, limited representation of the immune and vascular components, and insufficient modeling of the native skin microenvironment. Future developments integrating bioengineering approaches, microfluidic platforms, and multi-cellular systems are expected to further enhance model complexity and translational relevance. This review summarizes current knowledge on experimental models developed to study SG and sebocyte physiology and pathology.",234,,0,,,0,,Cells,,2073-4409,2026-09-01,,,15,17,1591,Review,,,Stefania Briganti | Sarah Mosca | Monica Ottaviani | Enrica Flori,Stefania Briganti,4,,,,True,https://www.mdpi.com/2073-4409/15/17/1591/pdf?version=1788841379,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/ijem1030015,skin microbiome,10.3390/ijem1030015,https://doi.org/10.3390/ijem1030015,https://www.mdpi.com/3042-7681/1/3/15,/3042-7681/1/3/15,Delivery of Nebulized Prebiotic/Postbiotic Formulations: Spatial Deposition and Exposure Characterization by GC–MS,"Indoor environments are increasingly recognized as key determinants of human microbial exposure and skin health. Microbiome-aware interventions, including probiotic and prebiotic formulations, have been proposed to complement conventional environmental hygiene. However, quantitative data on the spatial distribution of nebulized prebiotic/postbiotic mixtures in enclosed spaces are lacking. The aim of this exploratory study was to characterize the aerosolization efficiency and spatial deposition of a prebiotic/postbiotic solution nebulized by two different devices in standardized indoor microenvironments. Two nebulizing devices were tested separately in two identical 20′ ISO containers (33.2 m 3 ). A liquid prebiotic/postbiotic mixture at two concentrations (10% and 20% v / v in water) was nebulized for 1 or 2 h. Surface deposition was assessed using passive paper samplers placed at horizontal distances of 0, 25, 50, 100 and 200 cm from the aerosol outlet. A volatile chemical marker contained in the solution was quantified by gas chromatography–mass spectrometry to estimate deposited volume per unit area. Both devices generated detectable marker deposition at all distances, ranging from 0.22 to 14.42 µL·cm −2 of concentrate equivalent. In a mixed-effects model treating the individual run as the unit of replication, distance was the only factor reaching statistical significance, deposition decreasing approximately twofold per 100 cm ( p < 0.001); the apparent effects of device type, concentration and run time did not reach significance. Spatial decay profiles were condition-dependent rather than systematically device-specific. Nebulized prebiotic/postbiotic mixtures can be delivered across meter-scale distances in enclosed indoor settings. Because each condition was tested in a single run, aerosol properties were not characterized and no microbiological or clinical endpoints were assessed; these findings represent a feasibility and exposure-characterization step rather than evidence of biological or health benefit, and they support further investigation of nebulized microbiome-modulating interventions in environmental and occupational medicine.",296,,0,,,0,,Int. J. Environ. Med.,,3042-7681,2026-08-27,,,1,3,15,Article,,,Edoardo Cavalieri D’Oro | Claudio De Maio | Rita White | Enrico Greco,Edoardo Cavalieri D’Oro,4,,,,True,https://www.mdpi.com/3042-7681/1/3/15/pdf?version=1787914393,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/cells15171553,skin microbiome,10.3390/cells15171553,https://doi.org/10.3390/cells15171553,https://www.mdpi.com/2073-4409/15/17/1553,/2073-4409/15/17/1553,The Chronic Wound Microbiome: Dynamics and Treatment Response,"Chronic ulcers require prolonged care and carry an increased risk of infection and limb loss. Sequencing studies of diabetic foot ulcers, venous leg ulcers, and pressure ulcers have revealed dynamic, patient-specific microbial communities whose composition varies with local tissue conditions and treatment exposure. This review examines changes in microbial burden and community structure during wound-bed and antimicrobial interventions and their relationships with healing. Observed shifts may contribute to therapeutic effects, reflect direct perturbation of the community, or follow tissue recovery. However, most studies are small, heterogeneous, and uncontrolled, limiting causal inference. No published randomized trial has shown that treatment selection informed by sequencing-based microbial profiling improves wound healing. A central translational challenge is to determine whether baseline microbial features reproducibly predict responses to defined interventions. Progress will therefore require prospective longitudinal studies integrating sequencing with quantitative culture, isolate phenotyping, antimicrobial susceptibility testing, biofilm assays, and standardized clinical data. Such studies should establish whether microbiome profiling adds clinically useful information to conventional wound assessment and microbiological testing.",166,,0,,,0,,Cells,,2073-4409,2026-08-27,,,15,17,1553,Review,,,Ilaria Cavallo | Francesca Sivori | Massimo Francalancia | Alessandro Greco | Mauro Truglio | Fulvia Pimpinelli | Enea Gino Di Domenico,Ilaria Cavallo,7,,,,True,https://www.mdpi.com/2073-4409/15/17/1553/pdf?version=1787882512,,,0,0,skin microbiome,0.5,False,2026-09-11T01:21:44+00:00,,
10.3390/biom16091246,skin microbiome,10.3390/biom16091246,https://doi.org/10.3390/biom16091246,https://www.mdpi.com/2218-273X/16/9/1246,/2218-273X/16/9/1246,Advancing Epidermal Barrier Resilience in Atopic Dermatitis with Isosorbide Di-Fatty Acid Esters: From Disruption to Restoration,"Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease characterized by epidermal barrier dysfunction, immune dysregulation, microbial imbalance, and severe pruritus. Emerging evidence establishes that barrier disruption is a central pathogenic driver capable of initiating inflammatory signaling, neuroimmune activation, and chronic disease instability. This understanding has shifted therapeutic paradigms toward barrier-directed strategies aimed at restoring epidermal resilience. This narrative review evaluates the mechanistic and clinical evidence surrounding isosorbide fatty acid diester molecules—specifically isosorbide dicaprylate (IDC) and isosorbide di-(linoleate/oleate) (IDL)—as a barrier-first approach for AD management. Early in vitro and ex vivo investigations demonstrated that IDC significantly improves epidermal hydration, transepidermal water loss, and the expression of barrier-associated genes linked to epidermal integrity. Subsequent studies showed that IDL expands these effects through coordinated regulation of keratinocyte differentiation, lipid homeostasis, and inflammatory stress pathways. Furthermore, recent mechanistic data highlight synergistic anti-inflammatory and pruritus-modulating effects involving TRPA1-, TRPV3-, and TSLP-associated pathways, while preserving tissue integrity under cytokine-induced stress. Clinically, these findings are supported by randomized studies in pediatric and adult cohorts demonstrating significant reductions in pruritus, favorable Eczema Area and Severity Index (EASI) responses, decreased topical corticosteroid dependence, and a reduction in the relative abundance of Staphylococcus aureus . Collectively, these findings support a barrier-first therapeutic framework in which restoration of epidermal resilience may beneficially influence multiple interconnected pathways involved in atopic dermatitis.",221,,0,,,0,,Biomolecules,,2218-273X,2026-08-27,,,16,9,1246,Review,,,Ratan K. Chaudhuri | Raja K. Sivamani,Ratan K. Chaudhuri,2,,,,True,https://www.mdpi.com/2218-273X/16/9/1246/pdf?version=1787899040,,,0,0,skin microbiome,0.5,False,2026-09-11T01:21:44+00:00,,
10.3390/ijms27177660,topical retinoid delivery systems,10.3390/ijms27177660,https://doi.org/10.3390/ijms27177660,https://www.mdpi.com/1422-0067/27/17/7660,/1422-0067/27/17/7660,Phytol in Skin Care: From Multidimensional Pharmacological Mechanisms to Nanocarrier-Based Cosmetic Applications,"Phytol, an acyclic diterpene alcohol and a key lipophilic side-chain moiety of chlorophyll, is widely distributed in nature. It exhibits potent antioxidant, anti-inflammatory, analgesic and broad-spectrum antibacterial activities. Notably, phytol can also effectively inhibit melanin production, repair the skin barrier, and exert profound anti-aging effects, making it a highly promising ingredient for daily skincare with substantial industrial application value. The skincare benefits of phytol are primarily achieved by constructing a multi-dimensional regulatory network involving defense, modulation and repair. Compared to conventional retinol-based skincare ingredients, phytol exhibits superior biocompatibility, mild irritation, and remarkable safety advantages. Nevertheless, its application is hindered by inherent limitations, including strong hydrophobicity, spontaneous aggregation tendency, and poor photothermal stability. These drawbacks severely restrict its dispersibility, storage stability and percutaneous bioavailability in aqueous cosmetic formulations. To address these deficiencies, nanodrug delivery systems (NDDS), such as liposomes, nanoemulsions, solid lipid nanoparticles and PLGA nanoparticles, have been widely employed. These nanocarriers can penetrate the skin barrier via the size effect, enabling targeted skin delivery and long-term controlled release of phytol. This review systematically summarizes the biological sources and metabolic fate of phytol, as well as its multi-mechanistic pharmacological effects on the skin. Furthermore, we outline the current application status and industrial development trends of phytol in mainstream cosmetics worldwide. This work aims to provide theoretical basis and forward-looking references for the development of high-efficiency, safe and stable phytol-derived skincare raw materials and topical formulations. Highlights: (1) Phytol, a natural acyclic diterpene alcohol, exerts multi-dimensional skincare effects including antioxidant, anti-inflammatory, whitening, anti-aging, and skin barrier repair activities via a defense–modulation–repair regulatory network. (2) Phytol may act as a mild, non-irritating functional alternative to retinoids, targeting PPAR/RXR pathways and avoiding TRPV1-mediated irritation, making it suitable for sensitive skin. (3) Poor water solubility and instability hinder phytol’s translation; nanodelivery systems effectively improve solubility, permeability, and sustained release.",304,,0,,,0,,Int. J. Mol. Sci.,,1422-0067,2026-08-26,,,27,17,7660,Review,,,Xiaohan Wu | Wenxiang Zhang | Bohao Jin | Siyu Chen | Hong Shen,Xiaohan Wu,5,,,,True,https://www.mdpi.com/1422-0067/27/17/7660/pdf?version=1787825661,,,0,0,topical retinoid delivery systems | cosmetic formulation rheology | surfactant skin barrier disruption,1.0,False,2026-09-15T13:37:24+00:00,,
10.3390/pr14172707,cosmetic formulation rheology,10.3390/pr14172707,https://doi.org/10.3390/pr14172707,https://www.mdpi.com/2227-9717/14/17/2707,/2227-9717/14/17/2707,Interfacial Regulation by Surfactants in Spray Cosmetics: Mechanisms and Applications,"Spray cosmetics couple formulation composition with actuator design and biological targets, so their performance is governed by rapid, nonequilibrium interfacial processes that cannot be predicted from in-bottle stability or equilibrium surface tension alone. This targeted narrative review integrates evidence across storage stability, atomization, droplet flight and evaporation, deposition, film formation, active delivery, inhalation safety and environmental fate. It examines how surfactant molecular structure, micellar replenishment, dynamic surface tension, interfacial viscoelasticity and extensional rheology influence droplet-size distributions, wetting, spreading and deposition. Particular attention is given to competing effects: enhanced breakup may increase airborne fine fractions; stronger interfacial films may impair sprayability; enhanced penetration may reduce barrier tolerance; and bio-based origin does not necessarily imply a lower life-cycle burden. Across moisturizing, sunscreen, hair- and scalp-care, makeup-setting, cleansing-foam and emerging functional sprays, this review develops an interface-to-outcome framework and a multiobjective operating-window concept linking formulation and device variables to efficacy, manufacturability, safety and sustainability. The available evidence supports product-specific, whole-process validation rather than optimization against any single equilibrium property, while highlighting the need for spray-relevant dynamic measurements, realistic exposure assessment and validated formulation–device co-design.",181,,0,,,0,,Processes,,2227-9717,2026-08-25,,,14,17,2707,Review,,,Zi-Bin Huang | Tian-Yi Huang | Pei-Qing Yuan | Zhen-Min Cheng | Min-Jia Yuan,Zi-Bin Huang,5,,,,True,https://www.mdpi.com/2227-9717/14/17/2707/pdf?version=1787637168,,,0,0,cosmetic formulation rheology | surfactant skin barrier disruption | topical retinoid delivery systems,1.0,False,2026-09-15T13:37:17+00:00,,
10.3390/nu18172749,skin microbiome,10.3390/nu18172749,https://doi.org/10.3390/nu18172749,https://www.mdpi.com/2072-6643/18/17/2749,/2072-6643/18/17/2749,"Prenatal, Perinatal and Postnatal Exposures and Clinical Factors of Food Allergy Prevention: A Review for the First 1000 Days of Life from the SIAIP Primary and Secondary Prevention of Allergic Diseases Commission","Background/Objectives: Food allergy prevention is no longer understood as the simple avoidance of allergenic foods. The first 1000 days (from conception to, approximately, 24 months of age) include prenatal, perinatal and postnatal windows in which diet, epithelial barrier integrity, microbial ecology, immune maturation and family-level implementation interact. This narrative review was developed as a Commission-proposed SIAIP-oriented clinical framework, rather than a formal guideline or consensus statement. Evidence from guidelines, systematic reviews, randomised trials, birth cohorts and mechanistic studies was organised by developmental window and interpreted according to endpoint validity, confounding, feasibility and clinical readiness. Prenatal factors include maternal allergen non-avoidance, whole-diet quality, micronutrient and fatty acid status, antibiotic exposure, environmental context and maternal microbiome. Perinatal factors include mode of delivery, intrapartum and neonatal antibiotics, gestational maturity, early colonisation, breastfeeding initiation and routine vaccination. Postnatal factors include eczema, skin barrier inflammation, the timing and regularity of allergen introduction, breastfeeding management, infant diet diversity, siblings, daycare, pets, smoke and pollution, physical activity and equitable implementation. The strongest actionable evidence remains eczema-linked risk recognition and timely, sustained oral exposure to peanut and well-cooked egg. Maternal and environmental factors are clinically important, but many are contextual rather than prescriptive; they should guide non-restrictive, non-blaming counselling rather than deterministic risk labelling.",206,,0,,,0,,Nutrients,,2072-6643,2026-08-22,,,18,17,2749,Review,,,Angela Klain | Salvatore Cascone | Carolina Grella | Valentina Cattivera | Cecilia Fabiano | Francesca Galletta | Sara Manti | Antonio Andrea Senatore | Amelia Licari | Michele Miraglia del Giudice | Gian Luigi Marseglia | Cristiana Indolfi,Angela Klain,12,,,,True,https://www.mdpi.com/2072-6643/18/17/2749/pdf?version=1787388166,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
10.3390/foods15162931,skin microbiome,10.3390/foods15162931,https://doi.org/10.3390/foods15162931,https://www.mdpi.com/2304-8158/15/16/2931,/2304-8158/15/16/2931,Individualized Nutritional and Microbiome-Oriented Management of Food Allergy-Associated Atopic Dermatitis in Children: A Prospective Real-World Observational Cohort Study,"Atopic dermatitis (AD) and food allergy frequently coexist during early childhood and are increasingly linked through interactions within the gut–skin axis. We evaluated the clinical outcomes of an integrated nutritional and microbiome-oriented management strategy in children with food allergy-associated AD under real-world conditions. This prospective, two-center, real-world observational cohort study included 85 children (median age, 11 months) with AD diagnosed according to the Hanifin–Rajka criteria and confirmed IgE- and/or non-IgE-mediated food allergy. Participants received individualized nutritional and microbiome-oriented management comprising elimination diets, conventional topical therapy, microbiome-directed interventions, and nutritional supplementation tailored to their clinical, allergological, and microbiological profile. Disease severity was assessed using the Scoring Atopic Dermatitis (SCORAD) index at baseline and after approximately 1 and 3 months of follow-up. Cow’s milk, egg, and wheat were the predominant food allergens, and 69.4% of children were polyallergic. SCORAD decreased significantly during follow-up, with a mean relative reduction of 51.6% and 63.5% of participants achieving a SCORAD50 response. Food allergy burden independently predicted baseline disease severity, whereas documented gut dysbiosis was associated with polyallergy and greater absolute clinical improvement, although this association lost statistical significance after adjustment for baseline disease severity and should therefore not be interpreted as a favorable prognostic effect of dysbiosis. Baseline SCORAD remained the strongest independent predictor of clinical improvement. Integrated nutritional and microbiome-oriented management was associated with substantial clinical improvement and may represent a valuable adjunct to standard care in children with food allergy-associated AD. Because of the observational, uncontrolled design, these findings describe associations rather than causal treatment effects. These findings support further evaluation of personalized nutritional strategies in randomized controlled trials.",266,,0,,,0,,Foods,,2304-8158,2026-08-21,,,15,16,2931,Article,,,Raluca-Gabriela Miulescu | Alina Mușetescu | Ruxandra-Cristina Marin | Călin Muntean | Radu Dumitru Moleriu | Alexandru-Neculai Pavel | Ioana Roșca | Laura Dinică | Alina Ilici | Oana Andreia Coman,Raluca-Gabriela Miulescu,10,,,,True,https://www.mdpi.com/2304-8158/15/16/2931/pdf?version=1787292901,,,0,0,skin microbiome,1.0,False,2026-09-11T01:21:44+00:00,,
